title,artist_name,track_mbid,date,length,genre_dortmund,genre_rosamerica,genre_tzanetakis,sad,happy,party,relaxed,acoustic,danceable,tonal,bright,instrumental,decada,longitud_titulo,pca_1,pca_2,pca_3,pca_4,pca_5,cluster,anomaly
Pleasant As May,Dolly Parton,1a9ec543-273b-4ac0-877e-c993dcd2fbf1,1973,2.601795959466666,Folkcountry,Classic,Jazz,0.893542706966,0.311816632748,0.0160887278616,0.964735507965,0.96177726984,0.00597725529224,0.886761903763,0.537725806236,0.00659238360822,1970,15,3.440298087318012,1.3122794392038595,-1.0167977202728613,-1.3665694850344872,0.347406167562641,1,1
Hairpin Turns,The National,0a2dc4bc-b8fa-4844-a2df-3eb3247ffea1,2019,4.458666483566666,Electronic,Rhythmic,Jazz,0.307458162308,0.149494081736,0.0849585011601,0.992056429386,0.839431941509,0.114394620061,0.0450523160398,0.113264091313,0.148491159081,2010,13,0.7136081505044356,-2.107551415413037,0.3965982298536488,-1.449100915132388,0.4868140930717247,1,1
I've Got So Used to Loving You,Bonnie Tyler,0b14e29c-2095-4c7c-a36a-c2dd5b5b8815,1977,2.9851112365666665,Electronic,Rhythmic,Jazz,0.5,0.969704329967,0.214263498783,0.453670740128,0.986794173717,0.164419308305,0.915536642075,0.997149169445,0.00748052634299,1970,30,1.8734856316130173,3.2973005771609185,-0.35131936103030337,0.4683043349799616,0.8391736408838223,1,1
Signs Of Life,Pink Floyd,01b7cea0-b50a-4bbe-973d-721c8037fa81,1987,4.399455769849999,Electronic,Rhythmic,Jazz,0.522296726704,0.158022224903,0.0461544804275,0.972878813744,0.941430926323,0.21702003479,0.0771748200059,0.0002951353963,0.999999761581,1980,13,1.805460107203464,-1.6419089883870712,-2.2426737448531493,-0.9345070561250538,-0.27571984998623145,1,1
In the Woods of Kroandal,Andreas Vollenweider,0b08c7f6-5c4d-4de4-b7dd-34db292e648d,1991,3.2235102335666665,Electronic,Classic,Jazz,0.902640879154,0.170806989074,0.0100475512445,0.994849383831,0.975826144218,0.00829073879868,0.78806167841,0.423236936331,0.2640671134,1990,24,3.225168084010715,-0.2786539848609847,-0.17005646346081893,-0.7430050430636553,0.6341789433430289,1,1
Irreplaceable (Irreemplazable - Nortena Remix),Beyoncé,0b43d799-6b2c-4d28-8206-992732f9cf17,2007,3.8616923014333335,Electronic,Pop,Jazz,0.216744363308,0.822250962257,0.396037489176,0.752832829952,0.0114894751459,0.992393732071,0.0159508939832,0.982358932495,0.739809989929,2000,46,-1.281520147960175,0.06738481118277677,0.022362069253296424,1.7703568502405636,1.1010759732795978,0,1
Marie's The Name His Latest Flame,Elvis Presley,0cd622a6-6679-45dd-87dd-9c39cb2fb2ea,1961,2.1459592183500003,Folkcountry,Rhythmic,Jazz,0.646329462528,0.650339782238,0.224341288209,0.697300434113,0.913508355618,0.0377147495747,0.872999548912,0.982380926609,0.014081674628,1960,33,2.712731980647345,3.1349470548919554,-1.3789817996805978,-0.06915027497257668,1.2156589797124104,1,1
Who's Your Hero?,Public Enemy,0a2a23fd-8d63-4837-a7d9-0817db32c789,2006,3.935346984866667,Electronic,Hip-Hop,Jazz,0.416544616222,0.29764008522,0.515836119652,0.247888699174,0.0312058664858,0.999720990658,0.915308713913,0.203913122416,0.432608753443,2000,16,-1.5117865861365425,-0.027673740922523934,0.22526977561019404,0.09581820541461177,-0.3782271667659773,0,1
Coast Line,The Future Sound of London,1acd6226-e2c8-466f-a671-79fceac29d67,2010,4.297578430183333,Electronic,Hip-Hop,Rock,0.525493264198,0.247278943658,0.00223363051191,0.808804869652,0.0472768098116,0.999999880791,0.885806322098,0.406932502985,0.00408405903727,2010,10,-0.1502891735776535,-0.6296504674600368,1.1057471393645746,-0.5210446688640049,-0.6106784252458892,0,1
Release,Sonic Animation,1aa52620-5d04-4cdd-bda8-cdec8e487fec,2002,6.221061197916667,Electronic,Dance,Jazz,0.333682268858,1.04001037471e-05,0.737759768963,0.258984029293,0.0407856814563,0.98794645071,0.601668655872,0.00676265079528,0.989209413528,2000,7,-2.10230227670983,-1.4964898464293401,-1.1174387637302627,0.29067083240858566,-1.358461363016864,0,1
